,Unnamed: 0,artist_uri,genres
213,213,2mxe0TnaNL039ysAj51xPQ,[]
214,214,26dSoYclwsYLMAKD3tpOr4,"['pop', 'dance pop', 'post-teen pop']"
215,215,0tRRrNLQY5rejEDVSjy4w3,"['hip pop', 'urban contemporary']"
216,216,2gBjLmx6zQnFGQJCAQpRgw,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'pop rap', 'urban contemporary', 'southern hip hop', 'st louis rap']"
217,217,1xeZcY93inQY14LWwnxd5G,"['neo mellow', 'pop rock']"
218,218,6tbjWDEIzxoDsBA1FuhfPW,"['pop', 'dance pop']"
219,219,3LIJJJkO7R5RasRwt7xIn5,"['crunk', 'rap', 'trap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'dirty south rap', 'new orleans rap', 'southern hip hop']"
220,220,1KCSPY1glIKqW2TotWuXOR,"['pop', 'dance pop']"
221,221,51Blml2LZPmy7TTiAg47vQ,"['rock', 'irish rock', 'permanent wave']"
222,222,7L12TqJ0fbwtFljTbwfwRI,"['europop', 'bubblegum dance', 'dance pop']"
223,223,5rSXSAkZ67PYJSvpUpkOr7,"['boy band', 'dance pop']"
224,224,3ipn9JLAPI5GUEo4y4jcoi,"['rap', 'trap', 'dance pop', 'hip hop', 'pop rap', 'atl hip hop', 'dirty south rap', 'southern hip hop', 'old school atlanta hip hop']"
225,225,05RZIdfz59ZW2FvFuwnmNK,"['r&b', 'contemporary r&b', 'dance pop', 'hip pop', 'quiet storm', 'urban contemporary']"
226,226,1J2VVASYAamtQ3Bt8wGgA6,"['rap', 'dance pop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'queens hip hop', 'east coast hip hop']"
227,227,3zTOe1BtyTkwNvYZOxXktX,"['r&b', 'contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'urban contemporary']"
228,228,7352aRY2mqSxBZwzUb6LmA,"['r&b', 'rap', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'urban contemporary', 'southern hip hop']"
229,229,0EyuKHE1AeE9lWUF8mzKVp,"['post-grunge', 'rock', 'alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'rap rock']"
230,230,0AunegKKH2ys98aLxq8G1A,"['r&b', 'contemporary r&b', 'hip pop', 'neo soul', 'pop r&b', 'urban contemporary']"
231,231,4zKhX6hYCQPNs406umP9Fx,"['boy band', 'dance pop']"
232,232,6roFdX1y5BYSbp60OTJWMd,"['country', 'contemporary country', 'country road']"
233,233,0dEvJpkqhrcn64d3oI8v79,"['comic', 'canadian pop', 'canadian rock', 'pop rock']"
234,234,25IG9fa7cbdmCIy3OnuH57,"['country', 'country dawn']"
235,235,7qvsLYsYP0MHD7jkdv6DAG,"['country', 'contemporary country', 'country dawn', 'country gospel', 'country road']"
236,236,3OsRAKCvk37zwYcnzRf5XF,"['downtempo', 'electronica']"
237,237,6V03b3Y36lolYP2orXn8mV,"['boy band', 'dance pop']"
238,238,5EvFsr3kj42KNv97ZEnqij,"['pop rap', 'reggae fusion']"
239,239,2lFHVcUeJ9Gq6AZiU3ZAOa,"['r&b', 'contemporary r&b', 'girl group', 'hip pop', 'urban contemporary']"
240,240,3UVRliakQfa1pMWIsNuiZ8,"['r&b', 'contemporary r&b', 'dance pop', 'neo soul', 'quiet storm', 'urban contemporary']"
